repository,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,CD,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NA,NM,NLA,NLM,NOS,TLOC,TLLOC,TNA,TNM,TNLA,TNLM,TNOS
OpenBMB_ChatDev,2.9731543624161074,0.0,0.0,9.322147651006711,0.40939597315436244,0.0,0.0,0.08053691275167785,4.416107382550336,0.0,8.395973154362416,0.18120805369127516,0.18120805369127516,0.18120805369127516,0.18120805369127516,0.18120805369127516,47.1744966442953,41.12080536912752,0.0,5.174496644295302,0.0,4.3355704697986575,24.174496644295303,47.1744966442953,41.12080536912752,0.0,5.214765100671141,0.0,4.3355704697986575,24.174496644295303
neuropsychology_NeuroKit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
comfyanonymous_ComfyUI,2.343680709534368,0.0,0.0,6.8913525498891355,0.5121951219512195,0.0,0.0,0.44567627494456763,3.1818181818181817,0.0,6.902439024390244,0.08869179600886919,0.08869179600886919,0.07317073170731707,0.08869179600886919,0.07317073170731707,54.92461197339246,44.42572062084257,0.0,3.1773835920177382,0.0,2.7361419068736144,23.787139689578716,55.04656319290466,44.53880266075388,0.0,3.2505543237250554,0.0,2.745011086474501,23.851441241685144
apache_tvm,1.8192004845548153,0.0,0.0,4.935493640218049,0.4000605693519079,0.0,0.0,0.21199273167777105,2.4043004239854633,0.0,9.581465778316172,0.3940036341611145,0.3949121744397335,0.32162325863113267,0.3949121744397335,0.32162325863113267,39.16989703210176,31.412174439733494,0.0,3.2283464566929134,0.0,2.1923076923076925,13.825560266505148,39.2931556632344,31.498788612961842,0.0,3.3473652331920047,0.0,2.2286493034524533,13.969109630526953
reflex-dev_reflex,0.947261663286004,0.0,0.0,2.7849898580121706,0.20689655172413793,0.0,0.0,0.06490872210953347,1.3468559837728196,0.0,11.872210953346856,0.14807302231237324,0.14807302231237324,0.1440162271805274,0.14807302231237324,0.1440162271805274,32.198782961460445,22.425963488843813,0.0,1.9432048681541583,0.0,1.281947261663286,4.9452332657200815,32.29817444219067,22.480730223123732,0.0,1.971602434077079,0.0,1.281947261663286,4.9452332657200815
netbox-community_netbox,0.8274783445620789,0.0,0.0,1.6963426371511068,0.11717998075072185,0.0,0.0,0.007699711260827719,0.913618864292589,0.0,1.7295476419634264,0.1075553416746872,0.12343599615014438,0.09648700673724735,0.12343599615014438,0.09648700673724735,24.532723772858517,21.147978825794034,0.0,1.0878248315688162,0.0,0.9059191530317613,4.917709335899904,26.05822906641001,22.58012512030799,0.0,1.1049085659287776,0.0,0.9213185755534168,5.0555822906641
flairNLP_flair,2.6823529411764704,0.0,0.0,9.731372549019607,1.007843137254902,0.0,0.0,0.515686274509804,3.9490196078431374,0.0,11.709803921568627,0.6588235294117647,0.6588235294117647,0.5470588235294118,0.6588235294117647,0.5470588235294118,70.87843137254902,53.99411764705882,0.0,5.676470588235294,0.0,3.433333333333333,26.17058823529412,70.87843137254902,53.99411764705882,0.0,5.698039215686275,0.0,3.437254901960784,26.176470588235293
horovod_horovod,3.796747967479675,0.0,0.0,15.146341463414634,0.46883468834688347,0.0,0.0,0.4959349593495935,6.333333333333333,0.0,11.794037940379404,0.15176151761517614,0.16802168021680217,0.14905149051490515,0.16802168021680217,0.14905149051490515,100.45528455284553,78.72357723577235,0.0,6.897018970189702,0.0,5.837398373983739,50.956639566395665,100.46612466124661,78.7289972899729,0.0,7.56639566395664,0.0,6.043360433604336,51.520325203252035
lllyasviel_Fooocus,2.3056768558951966,0.0,0.0,6.698689956331878,0.517467248908297,0.0,0.0,0.4432314410480349,3.0633187772925763,0.0,6.888646288209607,0.09170305676855896,0.09170305676855896,0.07641921397379912,0.09170305676855896,0.07641921397379912,53.430131004366814,43.377729257641924,0.0,3.11353711790393,0.0,2.6200873362445414,22.713973799126638,53.55021834061135,43.48908296943232,0.0,3.1353711790393013,0.0,2.62882096069869,22.777292576419214
PaddlePaddle_PaddleNLP,3.1620010368066356,0.0,0.0,10.590461378952826,0.5813893208916537,0.0,0.0,0.31052358735095903,4.26023846552618,0.0,20.43157076205288,0.18921721099015035,0.1902540176257128,0.18532918610679108,0.1902540176257128,0.18532918610679108,90.26775531363401,72.06272680145153,0.0,4.553395541731467,0.0,3.9497148781752203,31.98418869880767,90.36936236391912,72.14385692068429,0.0,4.6625194401244165,0.0,3.9577501296008295,32.03499222395023
ultralytics_ultralytics,3.327956989247312,0.0,0.0,13.693548387096774,0.41397849462365593,0.0,0.0,0.27956989247311825,4.983870967741935,0.0,34.02150537634409,0.14516129032258066,0.14516129032258066,0.12903225806451613,0.14516129032258066,0.12903225806451613,89.44623655913979,67.17204301075269,0.0,5.580645161290323,0.0,4.704301075268817,37.854838709677416,89.44623655913979,67.17204301075269,0.0,5.618279569892473,0.0,4.704301075268817,37.854838709677416
compas-dev_compas,7.108552631578948,0.0,0.0,17.81578947368421,0.20065789473684212,0.0,0.0,0.2598684210526316,9.401315789473685,0.0,90.03618421052632,0.09539473684210527,0.09539473684210527,0.08552631578947369,0.09539473684210527,0.08552631578947369,163.16447368421052,126.27631578947368,0.0,9.546052631578947,0.0,9.141447368421053,37.651315789473685,163.16447368421052,126.27631578947368,0.0,9.572368421052632,0.0,9.141447368421053,37.651315789473685
uds-se_debuggingbook,2.8212526389866293,0.0,0.0,7.41871921182266,0.5517241379310345,0.0,0.0,0.41027445460942996,4.209007741027445,0.0,11.261787473610134,0.378606615059817,0.38705137227304715,0.258972554539057,0.38705137227304715,0.258972554539057,47.02990851513019,35.62315270935961,0.0,7.387403237156931,0.0,3.7987332864180154,20.023223082336383,47.24032371569317,35.79556650246305,0.0,7.730471498944405,0.0,3.9275158339197747,20.26389866291344
microsoft_nni,2.6453168044077136,0.0,0.0,7.179063360881543,0.46487603305785125,0.0,0.0,0.20523415977961432,3.4738292011019283,0.0,11.606060606060606,0.1756198347107438,0.1797520661157025,0.1453168044077135,0.1797520661157025,0.1453168044077135,46.60192837465565,35.18112947658402,0.0,4.396694214876033,0.0,3.268595041322314,19.163911845730027,46.61845730027548,35.19765840220386,0.0,4.616391184573002,0.0,3.4173553719008263,19.62465564738292
PrefectHQ_prefect,2.5021707670043414,0.0,0.0,3.871683550410034,0.2793053545586107,0.0,0.0,0.19778099372889532,3.305354558610709,0.0,4.942595272551857,0.15098890496864448,0.1538832609744332,0.13651712493970092,0.1538832609744332,0.13651712493970092,51.49011095031356,42.35166425470333,0.0,2.9667149059334297,0.0,3.1075735648818137,13.428847081524362,52.31934394597202,43.04968644476604,0.0,3.5533043897732752,0.0,3.2329956584659914,13.736131210805596
nateemma_strategies,2.6808510638297873,0.0,0.0,61.379110251450676,1.3423597678916828,0.0,0.0,0.620889748549323,4.762088974854932,0.0,34.601547388781434,0.6808510638297872,0.6808510638297872,0.620889748549323,0.6808510638297872,0.620889748549323,162.68085106382978,105.88588007736944,0.0,21.108317214700193,0.0,4.141199226305609,61.79883945841393,162.92263056092844,106.09864603481624,0.0,21.181818181818183,0.0,4.158607350096712,61.83558994197292
