repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS
openai_gym,2.484848484848485,0.0,0.0,0.0,0.3306982872200263,0.0,2.355731225296443,1.8866930171278,0.0,2.3662714097496704,12.196310935441373,15.628458498023717,6.978919631093544,2.1251646903820816,12.35836627140975,15.803689064558627,7.0566534914361005
httpie_cli,1.7882599580712788,0.0,0.0,0.0,0.3165618448637317,0.0,1.1236897274633124,0.6163522012578616,0.0,1.134171907756813,8.526205450733753,10.117400419287211,4.272536687631027,2.060796645702306,8.633123689727464,10.245283018867925,4.327044025157233
ytdl-org_youtube-dl,4.591265779597407,0.0,0.0,0.0,0.5063118389628113,0.0,0.8062094848174685,0.1299897645854657,0.0,0.8884339815762539,22.14602524735585,25.44114636642784,11.838621630842717,2.232343909928352,23.51757079495053,26.905151825315592,12.727055612418969
scrapy_scrapy,1.5033377837116155,0.0,0.0,0.0,0.3735647530040053,0.0,0.6162883845126835,0.3217623497997329,0.0,0.629105473965287,8.909479305740987,10.002403204272364,4.716154873164219,1.768224299065421,9.314285714285717,10.441655540720962,4.897196261682243
keras-team_keras,1.7483138090166843,0.0,0.0,0.0,0.4089456869009584,0.0,1.1648917287894924,0.568512602058928,0.0,1.189563365282215,11.891018814341498,13.701632942847,5.8452254171104014,2.119098331558396,12.237841675541356,14.086616968406108,6.010827121050763
hankcs_HanLP,2.6612190812720846,0.0,0.0,0.0,0.2937279151943462,0.0,2.147968197879859,1.6183745583038869,0.0,2.166077738515901,10.001325088339222,12.37190812720848,6.682420494699647,3.923144876325088,10.159452296819788,12.558745583038869,6.806095406360424
hpcaitech_ColossalAI,2.6323396567299007,0.0,0.0,0.0,0.3353206865401987,0.0,2.5465221318879854,1.5640469738030711,0.0,2.607046070460705,12.040831074977415,15.72755194218609,7.19620596205962,2.874616079494128,12.323396567299008,16.08545618789521,7.389521228545619
LAION-AI_Open-Assistant,2.4838709677419355,0.0,0.0,0.0,0.2419354838709677,0.0,1.1093189964157706,0.4444444444444444,0.0,1.1218637992831542,10.315412186379929,12.390681003584229,6.166666666666667,2.492831541218638,10.43010752688172,12.543010752688172,6.256272401433692
powerline_powerline,2.1961009174311927,0.0,0.0,0.0,0.4059633027522936,0.0,1.125,0.6903669724770642,0.0,1.1295871559633028,10.400229357798166,11.85894495412844,6.430045871559633,2.14105504587156,10.702981651376149,12.190366972477063,6.580275229357798
joke2k_faker,1.7516902274124155,0.0,0.0,0.0,0.0774431468961278,0.0,0.5691456668715427,0.17639827904118,0.0,0.5709895513214506,6.63859864781807,7.599262446220036,4.635525507068223,2.087277197295636,6.673017824216349,7.641057160417947,4.653964351567302
spotify_luigi,1.53757225433526,0.0,0.0,0.0,0.3697198755002223,0.0,1.1078257003112495,0.8145842596709649,0.0,1.1340595820364607,6.469986660738106,8.197421076033793,4.087149844375278,1.5649177412183193,7.034459759893286,8.835927078701646,4.292574477545576
recommenders-team_recommenders,2.478021978021978,0.0,0.0,0.0,0.4377289377289377,0.0,7.606227106227106,6.195970695970696,0.0,7.617216117216117,19.6978021978022,29.37545787545788,10.375457875457876,2.838827838827839,19.76923076923077,29.465201465201464,10.424908424908423
zhayujie_chatgpt-on-wechat,3.4945295404814005,0.0,0.0,0.0,0.4113785557986871,0.0,2.015317286652079,1.2056892778993435,0.0,2.024070021881838,12.01969365426696,14.185995623632383,9.321663019693654,2.2472647702407,12.157549234135669,14.332603938730854,9.422319474835886
HumanSignal_label-studio,2.342624854819977,0.0,0.0,0.0,0.2799070847851335,0.0,0.9547038327526132,0.3879210220673635,0.0,0.9581881533101044,8.336817653890824,9.94541231126597,5.24274099883856,2.1939605110336817,8.376306620209059,9.988385598141695,5.2682926829268295
microsoft_unilm,2.5916675916675915,0.0,0.0,0.0,0.3127613127613127,0.0,2.098605098605099,1.224886224886225,0.0,2.131905131905132,13.648536648536648,16.784807784807786,7.388648388648389,2.945942945942946,14.037592037592038,17.227106227106226,7.627335627335627
RasaHQ_rasa,2.212324179504354,0.0,0.0,0.0,0.4464166108506363,0.0,3.9367046215673134,2.965170797052913,0.0,3.9507702612190223,11.7906898861353,16.793369055592766,4.625586068318821,2.5448760884125923,12.022438044206297,17.058606831882116,4.747823174815808
kivy_kivy,2.7641692009953,0.0,0.0,0.0,0.3209842410837711,0.0,1.962952723251313,1.046723804257672,0.0,1.983688139341996,9.7732927840752,12.426043682609896,7.327343102018247,2.034835499032347,10.00691180536356,12.689798175283384,7.491014653027371
