Repository,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ludwig-ai/ludwig,65568,56,0,33080,98516,37616,1643572,74678,370416,0,0,517365,1024503,2077941,1963958,0,1048318,2096894,2097150
matplotlib/matplotlib,32800,50,98400,41264,0,117793,1671348,984304,895030,1921650,895732,0,1428727,2090230,391163,2076407,1572095,1965823,2093055
merenlab/anvio,98304,98306,0,622688,1155616,0,361076,1161266,0,0,759792,0,1020918,1831420,916731,1965555,1963775,0,1966079
microsoft/nni,327680,32816,1081378,233504,458804,368808,614580,634994,1659250,256242,900274,0,1042558,1964474,2095347,2078651,2092287,2092991,2093055
microsoft/unilm,98304,622592,1114146,466976,41200,204913,0,355384,642736,0,635830,1304822,1832754,2076863,785535,0,2095091,2097142,2095103
Mikubill/sd-webui-controlnet,98304,1114144,229408,71728,230448,492578,110712,889256,0,254898,1305906,0,1831603,0,0,2092922,2092798,2093054,2096895
mindsdb/mindsdb,65552,65576,65826,0,229922,205876,79536,1028144,108214,897266,0,1944186,1946811,0,914935,2094271,2092798,2094847,0
mitmproxy/mitmproxy,73728,65584,114720,33841,1118264,0,114750,366772,0,0,894204,0,2091697,1964215,2076027,2094782,1964023,0,1966079
mlc-ai/mlc-llm,524320,16432,622608,33848,115730,0,1675306,1166000,250163,1691769,0,1158974,2076862,0,2080435,2096762,0,2093051,2093055
mlflow/mlflow,32784,327696,73768,99088,233520,1245496,0,500514,854590,1283385,915513,2074679,1028979,653306,0,0,2092542,2091007,2080767
n00mkrad/flowframes,65568,0,81953,1114912,102704,0,861296,381538,1435760,1028336,1435120,1559986,391154,505846,0,1031927,1044223,2096887,2095103
nateemma/strategies,65568,65576,98448,335920,1409060,1638808,1262244,1156705,0,2072804,2048821,0,1953459,2073593,1963255,1961723,0,2097139,0
netbox-community/netbox,98304,65576,114689,197168,197232,102580,862320,1934380,117370,1946224,1954361,0,2083190,1029311,0,2078707,1703931,0,2097147
networkx/networkx,65568,98368,98448,84004,0,99154,1680432,1540912,0,1436464,1291896,1029306,638334,912378,913341,916927,2096630,2092543,2097147
neuropsychology/NeuroKit,1048584,1048585,1050633,1067017,1067019,1067023,1067279,1067791,1068815,1072911,1072943,1072959,1073087,1073151,1081343,1146879,1179647,1441791,1572863
nicolargo/glances,32800,65584,65578,299552,495648,1671268,98494,0,893483,0,1434739,240319,0,650747,1961715,2079167,1047547,2096894,0
numpy/numpy,65568,65696,591888,98465,0,75058,0,110826,0,0,0,2069302,653566,1945523,912894,915451,2091003,0,2093055
nvbn/thefuck,32800,0,1049136,66160,1380400,117026,123105,499884,471347,373051,386678,0,1687347,654583,1828798,2079995,2078207,2092799,2096127
oobabooga/text-generation-webui,65568,32816,0,630848,327985,1647712,0,852211,0,1943729,1030384,650489,0,0,2074611,2075639,2096379,2095871,0
openai/gym,65568,98336,82016,68144,361632,0,0,1278074,0,1683825,626039,1021750,376758,1048370,0,2078206,1965822,2092543,0
OpenBB-finance/OpenBBTerminal,65552,65824,360480,65714,589875,0,1413172,1622071,1681521,1414326,116991,0,1947254,2071795,1701875,0,1959935,2093051,2096127
OpenBMB/ChatDev,65568,65569,0,0,90224,466993,370850,387122,782560,0,757047,896630,0,0,1943550,2079731,0,2094847,0
PaddlePaddle/PaddleNLP,65568,66064,81944,37040,296048,41270,385076,1683618,0,125557,0,1956922,1820030,2077247,1963703,1046522,2093050,2080255,2093055
PaddlePaddle/PaddleOCR,98304,33056,73768,73784,755744,0,632368,108723,0,0,387387,0,1952190,2073470,2076147,2092534,0,1964031,2097147
pandas-dev/pandas,48,98336,82976,98353,361508,0,79412,0,893620,1032433,911930,1685694,783100,1944570,1828343,0,0,2095871,2097147
plotly/plotly.py,65568,0,8242,1114140,77876,106550,889392,622966,444598,1299762,0,1689982,782527,392767,1814515,0,2096823,2096631,2093055
powerline/powerline,98304,32786,593936,630848,237608,0,0,623036,631993,1410425,1564860,1683066,1958838,2090675,0,2092731,0,0,2096895
PrefectHQ/prefect,65568,66592,0,74288,0,1641008,1410074,651302,354611,0,1045556,1959094,1817969,915131,1703294,2090747,1959935,1965823,2093055
psf/black,73728,98336,69680,1146897,1122360,1802320,1688624,1124666,94519,385653,2089584,651646,0,1948286,0,2076666,2096062,2094591,2097150
pyecharts/pyecharts,98304,65576,98344,1114168,0,98359,112752,621104,1028768,0,910131,1545022,1031409,900027,1830079,1834686,1834995,2093054,2093055
pyodide/pyodide,32784,98336,33072,8306,0,0,500258,328375,1159410,494202,1423422,0,1438071,2071930,1824762,1964798,2096382,2092799,0
